state,forecast_date,target_end_date,trained_q50,actual,normalized_interval_width,normalized_disagreement,num_modes,branch_1_center,branch_1_weight,branch_2_center,branch_2_weight,branch_3_center,branch_3_weight,forecast_error,closest_actual_branch
Alabama,2021-07-26,2021-07-31,18352.0,16476.0,1.1609088927637314,0.1389635541393583,1,17940.760230342206,1.0,,,,,0.10222319093286836,
Alabama,2021-08-02,2021-08-07,25842.0,21602.0,1.5516213915331631,0.1694964905828801,1,25010.88972249207,1.0,,,,,0.16407398808141785,
Alabama,2021-08-09,2021-08-14,31896.0,20696.0,1.2904752947078004,0.2200564545957228,3,24796.739496186023,0.28104338984782307,28071.285632997045,0.14454043209354925,38850.0,0.5744161780586277,0.3511412089290193,1.0
Alabama,2021-08-16,2021-08-21,27524.0,31845.0,0.6805333527103619,0.1451815317085807,3,20156.20596782767,0.440878063426553,28439.43412319549,0.2452509130727143,30388.428983282036,0.3138710235007327,0.13568849112890563,3.0
Alabama,2021-08-23,2021-08-28,32321.0,28268.0,0.4276476594164785,0.10569490810690703,3,28194.885744836844,0.35556506594829895,32874.38457917461,0.3866541666157338,35426.838488813395,0.2577807674359672,0.12539834782339657,1.0
Alabama,2021-08-30,2021-09-04,28746.0,31262.0,0.5256035622347457,0.09486268133516437,1,28813.21436572798,1.0,,,,,0.08048109525942038,
Alabama,2021-09-06,2021-09-11,30868.0,26532.0,0.41214202410263057,0.08996199771956087,1,31476.038181879616,1.0,,,,,0.14046909420759363,
Alabama,2021-09-13,2021-09-18,23972.0,22489.0,0.5113048556649424,0.12318723026940107,1,24282.391846691633,1.0,,,,,0.061863841148006006,
Alabama,2021-09-20,2021-09-25,19054.0,19120.0,0.3319512963157342,0.08008383635178046,1,19908.579255170287,1.0,,,,,0.0034518828451882847,
Alabama,2021-09-27,2021-10-02,16758.0,12379.0,0.9658670485738154,0.11561665378993223,1,16983.419719039,1.0,,,,,0.2613080319847237,
Alabama,2021-10-04,2021-10-09,10018.0,7679.0,0.8758235176681972,0.15739587120486237,1,10681.518506681261,1.0,,,,,0.23347973647434617,
Alabama,2021-10-11,2021-10-16,6637.0,6002.0,0.7861985836974537,0.16075738374062395,1,6631.220295705343,1.0,,,,,0.09567575711918035,
Alabama,2021-10-18,2021-10-23,4759.0,6116.0,0.7774742592981719,0.19718276608570853,1,4609.803919144822,1.0,,,,,0.22187704381948986,
Alabama,2021-10-25,2021-10-30,5119.0,12056.0,0.9048642312951748,0.17872258114662723,1,4939.869702921845,1.0,,,,,0.5753981420039814,
Alabama,2021-11-01,2021-11-06,11314.0,4087.0,0.9118790878557539,0.4741977185309732,1,9595.759168341596,1.0,,,,,0.6387661304578398,
Alabama,2021-11-08,2021-11-13,4199.0,3696.0,1.021671826625387,0.28905503742212774,1,4806.189202171026,1.0,,,,,0.11979042629197428,
Alabama,2021-11-15,2021-11-20,3595.0,3200.0,0.8956884561891516,0.1724908843792252,1,3547.2045492200405,1.0,,,,,0.10987482614742698,
Alabama,2021-11-22,2021-11-27,3331.0,2315.0,0.8853197238066647,0.09769178695789482,1,3157.631836180072,1.0,,,,,0.30501350945661965,
Alabama,2021-11-29,2021-12-04,2316.0,3186.0,1.6994818652849741,0.23363720024946977,1,2539.6698888873,1.0,,,,,0.2730696798493409,
Alabama,2021-12-06,2021-12-11,2749.0,3813.0,1.0833030192797382,0.12232328886695377,1,2686.0577913892075,1.0,,,,,0.2790453710988723,
Alabama,2021-12-13,2021-12-18,3859.0,5342.0,1.3915522155998963,0.0743113938356944,1,3844.522540803414,1.0,,,,,0.27761138150505427,
Alabama,2021-12-20,2021-12-25,6009.0,10793.0,1.4461640872025296,0.14453238738048155,1,6325.291874119734,1.0,,,,,0.44325025479477437,
Alabama,2021-12-27,2022-01-01,12770.0,28529.0,0.9635865309318715,0.08101925319035397,1,12326.301440571951,1.0,,,,,0.5523852921588559,
Alabama,2022-01-03,2022-01-08,51516.0,69566.0,0.9555089680875845,0.025572399004178025,1,51366.521165736725,1.0,,,,,0.2594658310094011,
Alabama,2022-01-10,2022-01-15,114438.0,38442.0,1.0338086999073735,0.0057894527118438725,1,114436.07641489945,1.0,,,,,0.6640801132490955,
Alabama,2022-01-17,2022-01-22,70724.0,132765.0,1.0585798314574968,0.03353196635357737,1,70832.67615121364,1.0,,,,,0.4672993635370768,
Alabama,2022-01-24,2022-01-29,100171.0,68921.0,0.9117708718092062,0.20430281649164408,1,99574.10976594505,1.0,,,,,0.3119665372213515,
Alabama,2022-01-31,2022-02-05,122432.0,36112.0,0.36011826973340305,0.004446393222447772,1,122427.57290660002,1.0,,,,,0.7050444328280188,
